2017-08-05 22:03:55 [WARN] package > get list > select * from  room_packages
2017-08-05 22:04:00 [WARN] package > get item > select * from  room_packages where id='1' 
2017-08-05 22:04:01 [WARN] list_room_type > select * from  room_types
2017-08-05 22:04:04 [WARN] list_room_type > select * from  room_types
2017-08-05 22:04:04 [WARN] package > get item > select * from  room_packages where id='2' 
2017-08-05 22:04:07 [WARN] list_room_type > select * from  room_types
2017-08-05 22:04:07 [WARN] package > get item > select * from  room_packages where id='3' 
2017-08-05 22:04:09 [WARN] list_room_type > select * from  room_types
2017-08-05 22:04:09 [WARN] package > get item > select * from  room_packages where id='4' 
2017-08-05 22:04:11 [WARN] list_room_type > select * from  room_types
2017-08-05 22:04:11 [WARN] package > get item > select * from  room_packages where id='4' 
2017-08-05 22:04:13 [WARN] package > get item > select * from  room_packages where id='5' 
2017-08-05 22:04:13 [WARN] list_room_type > select * from  room_types
2017-08-05 22:04:16 [WARN] list_room_type > select * from  room_types
2017-08-05 22:04:16 [WARN] package > get item > select * from  room_packages where id='10' 
2017-08-05 22:04:18 [WARN] list_room_type > select * from  room_types
2017-08-05 22:04:18 [WARN] package > get item > select * from  room_packages where id='12' 
2017-08-05 22:04:21 [WARN] list_room_type > select * from  room_types
2017-08-05 22:04:21 [WARN] package > get item > select * from  room_packages where id='19' 
2017-08-05 22:04:23 [WARN] package > get item > select * from  room_packages where id='22' 
2017-08-05 22:04:23 [WARN] list_room_type > select * from  room_types
2017-08-05 22:04:25 [WARN] list_room_type > select * from  room_types
2017-08-05 22:04:25 [WARN] package > get item > select * from  room_packages where id='23' 
2017-08-05 22:04:27 [WARN] list_room_type > select * from  room_types
2017-08-05 22:04:57 [WARN] list_room_type > select * from  room_types
2017-08-05 22:04:57 [WARN] package > get item > select * from  room_packages where id='23' 
